QA,NCGA,CGA,CCGA,CA,PIS,HYP,AST,GUA,RUT,VR,VG,PB2 ,PC1,EPI,OA,UA  ,MA,CRA,QUE,MDA,HDL
5.655,0.195,1.78,0.069,9.785,0.119,1.605,0.0575,0.0217,0.318,4.975,1.01,1.96,2.075,2.65,0.7725,2.705,7.755,6.155,0.02,0.1015,0.882
3.64,0.094,0.89,0.065,9.515,0.15,0.38,0.0428,0.0128,0.11,3.01,0.67,1.11,0.935,1.4,0.69,2.97,9.055,8.955,0.0192,0.0755,0.886
1.78,0.073,0.66,0.058,10.895,0.081,0.445,0.0419,0.0135,0.113,1.8,0.375,0.94,0.86,0.96,0.9255,3.37,4.895,4.805,0.0194,0.162,1.061
2.57,0.087,0.845,0.082,8.135,0.107,0.88,0.051,0.0179,0.133,2.24,0.59,0.805,0.69,1.14,0.6405,4.005,7.155,6.805,0.0195,0.1295,0.809
2.78,0.073,1.62,0.063,10.565,0.092,1.79,0.0565,0.0225,0.137,2.325,0.47,1.245,1.305,2.335,0.6885,3.905,8.405,7.655,0.0205,0.159,0.796
2.06,0.084,1.675,0.067,5.375,0.104,1.895,0.064,0.0254,0.155,2.435,0.56,1.15,1.155,1.64,0.708,3.305,7.655,5.955,0.0223,0.024,1.003
2.84,0.129,0.825,0.053,5.695,0.094,0.89,0.044,0.0157,0.082,3.425,0.74,1.875,1.93,2.41,0.7575,5.697,7.995,8.045,0.0183,0.0315,0.611
5.045,0.158,0.795,0.056,6.565,0.1,0.25,0.0391,0.0115,0.074,3.76,0.81,1.385,1.25,1.7,0.585,4.13,7.495,7.245,0.0183,0.0235,0.568
2.235,0.11,1.045,0.06,6.205,0.126,0.675,0.044,0.0134,0.132,4.16,0.95,1.445,1.51,1.84,0.717,4.06,9.245,8.745,0.0182,0.045,0.562
1.785,0.111,1.225,0.061,5.695,0.121,2.13,0.0685,0.0248,0.218,4.325,1.04,1.665,1.705,3.135,0.4755,2.13,9.395,10.045,0.0187,0.0395,0.704
2.005,0.119,0.985,0.058,4.615,0.092,0.49,0.0422,0.0132,0.133,3.535,0.76,1.29,1.265,2.095,0.4785,2.26,7.595,7.345,0.0182,0.035,0.576
3.625,0.136,0.79,0.056,8.425,0.11,0.4,0.0418,0.0122,0.094,3.41,0.7,1.335,1.185,2.555,0.432,2.895,6.945,6.545,0.0181,0.0425,0.604
4.175,0.1,0.685,0.05,10.795,0.116,0.36,0.0413,0.0124,0.07,2.805,0.6,1.18,1.08,1.8,0.4035,3.53,8.145,8.595,0.0183,0.025,0.545
1.19,0.114,1.08,0.055,5.635,0.09,0.71,0.0429,0.0144,0.127,3.115,0.645,1.325,1.255,1.375,0.7725,5.195,4.895,4.645,0.0182,0.0645,0.522
1.29,0.099,1.05,0.062,2.935,0.112,1.86,0.062,0.0236,0.195,4.02,0.99,1.715,1.555,2.675,0.7125,3.63,9.595,9.145,0.0208,0.042,0.521
3.16,0.162,1.21,0.056,4.615,0.106,0.935,0.0447,0.0139,0.155,4.675,1.05,2.12,2.395,2.73,0.4065,2.76,8.745,8.545,0.0182,0.039,0.507
2.8,0.101,1.08,0.056,8.785,0.083,1.06,0.05,0.0184,0.177,3.445,0.765,1.465,1.415,2.115,0.672,3.095,8.045,8.395,0.0185,0.0305,0.596
2.38,0.052,0.63,0.053,13.825,0.095,1.01,0.0478,0.0164,0.122,3.095,0.7,1.225,1.31,2.33,0.6105,3.56,7.545,7.745,0.0182,0.0295,0.575
2,0.085,0.705,0.051,9.895,0.105,0.595,0.0453,0.014,0.101,3.875,0.855,1.055,0.955,1.505,0.732,5.695,8.245,7.245,0.0181,0.0355,0.515
1.91,0.109,1.115,0.065,4.795,0.127,1.005,0.0505,0.0164,0.182,4.915,1.025,1.915,1.785,2.57,0.7125,3.86,7.345,6.145,0.0186,0.038,0.874
5.645,0.185,1.77,0.059,9.775,0.109,1.595,0.0565,0.0207,0.308,4.965,1,1.95,2.065,2.64,0.7425,2.695,7.745,6.145,0.019,0.1005,0.882
3.63,0.084,0.88,0.055,9.505,0.14,0.37,0.0418,0.0118,0.1,3,0.66,1.1,0.925,1.39,0.66,2.96,9.045,8.945,0.0182,0.0745,0.886
1.77,0.063,0.65,0.048,10.885,0.071,0.435,0.0409,0.0125,0.103,1.79,0.365,0.93,0.85,0.95,0.8955,3.36,4.885,4.795,0.0184,0.161,1.061
2.56,0.077,0.835,0.072,8.125,0.097,0.87,0.05,0.0169,0.123,2.23,0.58,0.795,0.68,1.13,0.6105,3.995,7.145,6.795,0.0185,0.1285,0.809
2.77,0.063,1.61,0.053,10.555,0.082,1.78,0.0555,0.0215,0.127,2.315,0.46,1.235,1.295,2.325,0.6585,3.895,8.395,7.645,0.0195,0.158,0.796
2.05,0.074,1.665,0.057,5.365,0.094,1.885,0.063,0.0244,0.145,2.425,0.55,1.14,1.145,1.63,0.678,3.295,7.645,5.945,0.0213,0.023,1.003
